execution_time_ms
0.1874
0.0901
0.0691
0.066
0.0646
0.0684
0.0651
0.0637
0.0641
0.0634
0.0632
0.0632
0.0696
0.0639
0.0627
0.0625
0.0627
0.0629
0.0627
0.0622
0.0646
0.0637
0.0629
0.0634
0.0627
0.0622
0.0627
0.0625
0.0625
0.0646
0.0627
0.0627
0.0632
0.0625
0.0627
0.0637
0.0651
0.0632
0.0629
0.0629
0.0632
0.0632
0.0625
0.0629
0.0632
0.0641
0.0629
0.0629
0.0632
0.0634
0.0629
0.0644
0.0632
0.0629
0.0629
0.0627
0.0629
0.0634
0.0622
0.0629
0.0629
0.0625
0.0646
0.0625
0.0622
0.0629
0.0627
0.0646
0.0634
0.0627
0.0629
0.0632
0.0634
0.0629
0.0629
0.0629
0.0627
0.0629
0.0646
0.0629
0.0625
0.0625
0.0627
0.0653
0.0629
0.0625
0.062
0.0627
0.0627
0.0627
0.0627
0.0627
0.0627
0.0625
0.0627
0.0644
0.0629
0.0625
0.0644
0.0629
